"code";"name";"sku";"price";"short_description";"description";"epaisseur";"longueur";"largeur";"choix";"country_of_manufacture";"attribute_set";"store";"type";"root_category";"product_websites";"weight";"status";"visibility";"tax_class_id"
"TMELOFICOU000LO";"Lame De Terrasse Elondo Choix Courant  Fixation Invisible 2 Faces Lisses  Rainure Et Languette En Bout.";"121130273";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"21,000";"0,0000";"130,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TF00000DEG000BL";"Dégriseur Bois";"3239911102214";"20,80";"Eclaircit les bois grisaillés sans les décolorer.Nettoie, dérouille,détache et dégraisse, action rapide";"Le Dégriseur Bois est destiné au nettoyage et au détachage des boiseries extérieures ayant subi les agressions des intempéries. Son action rapide et pénétrante élimine grisaillement, taches et salissures, sur bois ainsi que plastiques, ciment et dallages extérieurs.Rendement : 5 m²/L/coucheNuancier : Incolore";"0,000";"0,0000";"0,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TF00000DEG000BL";"Dégriseur Bois";"3239913102212";"20,80";"Eclaircit les bois grisaillés sans les décolorer.Nettoie, dérouille,détache et dégraisse, action rapide";"Le Dégriseur Bois est destiné au nettoyage et au détachage des boiseries extérieures ayant subi les agressions des intempéries. Son action rapide et pénétrante élimine grisaillement, taches et salissures, sur bois ainsi que plastiques, ciment et dallages extérieurs.Rendement : 5 m²/L/coucheNuancier : Incolore";"0,000";"0,0000";"0,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TMTECFACOU000EB";"Lame De Terrasse Teck Choix Courant A Visser 2 Faces Lisses. Rainure Languette En Bout";"919120610";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"19,000";"0,0000";"120,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TMTECFACOU000EB";"Lame De Terrasse Teck Choix Courant A Visser 2 Faces Lisses. Rainure Languette En Bout";"919140610";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"19,000";"0,0000";"140,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TMBCOFI000ABCSV";"Bois Composite Teinte Brun Colorado Antiderapant Fixation Invisible   ";"3760102970126";"20,80";;"Bonne résistance à la glisse, tant en finition rainurée, lisse que structurée.Ne grise pas comme un bois massifTerrasse durable sans traitement, imputrescibleInstallation facile et rapide: système de fixation adaptéClips invisibles et accessoires de finitionsUn investissement sur et écologiqueGarantie 25 ans*Fabriqué en France, sous technologie brevetée";"23,000";"4000,0000";"138,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TABCO00JUPGILSV";"Jupe De Finition Bois Composite Teinte Gris Iroise Lisse ";"3760102973165";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"20,000";"2000,0000";"70,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TABCO00JUPLBCSV";"Jupe De Finition Bois Composite Teinte Brun Colorado Lisse ";"3760102973141";"20,80";;"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"20,000";"2000,0000";"70,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Catalog, Search";"Shipping"
"TMACAFACOU00BS";"Acacia Choix Courant Fixation A Visser 1 Face Lisse / 1 Face Antiderapante Profil Peigne.";"921120279";"20,80";"La Lame à découvrir !";"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"21,000";"0,0000";"120,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
"TMACAFACOU00BS";"Acacia Choix Courant Fixation A Visser 1 Face Lisse / 1 Face Antiderapante Profil Peigne.";"921100279";"20,80";"La Lame à découvrir !";"Le Lorem Ipsum est simplement du faux texte employé dans la composition et la mise en page avant impression. Le Lorem Ipsum est le faux texte standard de l'imprimerie depuis les années 1500, quand un peintre anonyme assembla ensemble des morceaux de texte pour réaliser un livre spécimen de polices de texte. Il n'a pas fait que survivre cinq siècles, mais s'est aussi adapté à la bureautique informatique, sans que son contenu n'en soit modifié. Il a été popularisé dans les années 1960 grâce à la vente de feuilles Letraset contenant des passages du Lorem Ipsum, et, plus récemment, par son inclusion dans des applications de mise en page de texte, comme Aldus PageMaker.";"21,000";"0,0000";"100,000";;;"Default";"";"simple";"Catalogue";"base";"10";"Enabled";"Search";"Shipping"
